"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1592128914","0","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1592128916","20","","Aggregated",0.00,0.00,910,930,930,930,940,950,950,950,950,950,950,950,20,0,910,902,776,945,114
"1592128918","20","","Aggregated",0.00,0.00,910,930,930,930,940,950,950,950,950,950,950,950,20,0,910,902,776,945,114
"1592128920","20","","Aggregated",0.00,0.00,910,930,930,930,940,950,950,950,950,950,950,950,20,0,910,902,776,945,114
"1592128922","20","","Aggregated",4.00,0.00,910,920,930,930,930,940,950,950,950,950,950,950,23,0,910,801,19,945,110
"1592128924","25","","Aggregated",2.88,0.00,910,920,930,930,930,940,950,950,950,950,950,950,26,0,910,710,13,945,113
"1592128926","40","","Aggregated",2.50,0.00,390,910,910,920,930,940,1300,1300,1300,1300,1300,1300,50,0,390,516,13,1263,408
"1592128928","40","","Aggregated",2.90,0.00,160,350,370,380,410,420,1300,1300,1300,1300,1300,1300,58,0,370,452,11,1263,368
"1592128930","40","","Aggregated",3.50,0.00,99,340,360,370,390,420,1300,1300,1300,1300,1300,1300,65,0,350,410,11,1263,344
"1592128932","40","","Aggregated",4.10,0.00,99,200,360,370,390,420,1300,1300,1300,1300,1300,1300,69,0,340,391,11,1263,330
"1592128934","54","","Aggregated",4.60,0.00,50,63,95,98,160,270,1300,1300,1300,1300,1300,1300,82,0,160,339,11,1263,296
"1592128936","60","","Aggregated",5.00,0.00,68,110,200,220,380,410,430,520,520,520,520,520,109,0,180,306,11,1263,251
"1592128938","60","","Aggregated",5.60,0.00,57,100,200,220,380,410,430,520,520,520,520,520,120,0,110,281,9,1263,241
"1592128940","60","","Aggregated",6.30,0.00,64,98,200,210,360,390,430,520,520,520,520,520,128,0,95,266,9,1263,235
"1592128942","60","","Aggregated",6.00,0.00,55,77,200,220,360,390,430,520,520,520,520,520,136,0,75,256,9,1263,227
"1592128944","80","","Aggregated",6.60,0.00,59,72,91,160,290,320,520,520,520,520,520,520,150,0,91,245,8,1263,216
"1592128946","80","","Aggregated",6.90,0.00,71,220,380,420,480,710,720,720,720,720,720,720,182,0,110,260,8,1263,199
"1592128948","80","","Aggregated",7.50,0.00,71,220,380,420,480,710,720,720,720,720,720,720,191,0,95,250,8,1263,196
"1592128950","80","","Aggregated",7.00,0.00,88,220,330,410,480,710,720,720,720,720,720,720,206,0,88,239,8,1263,191
"1592128952","80","","Aggregated",8.10,0.00,76,170,280,380,480,700,720,720,720,720,720,720,225,0,76,224,8,1263,186
"1592128954","96","","Aggregated",8.10,0.00,56,88,160,220,480,700,720,720,720,720,720,720,241,0,71,213,8,1263,181
"1592128956","100","","Aggregated",9.00,0.00,67,120,160,170,220,230,240,260,260,260,260,260,270,0,77,205,7,1263,176
"1592128958","100","","Aggregated",8.80,0.00,64,110,150,170,220,240,260,310,310,310,310,310,285,0,74,198,7,1263,173
"1592128960","100","","Aggregated",9.20,0.00,60,94,140,170,220,240,290,310,310,310,310,310,304,0,71,190,7,1263,170
"1592128962","100","","Aggregated",9.30,0.00,65,120,150,170,220,240,290,310,310,310,310,310,318,0,71,185,7,1263,169
"1592128964","120","","Aggregated",9.80,0.00,49,69,79,96,130,210,290,310,310,310,310,310,344,0,69,175,7,1263,166
"1592128966","120","","Aggregated",10.20,0.00,60,77,98,120,200,260,290,310,320,320,320,320,389,0,68,166,3,1263,162
"1592128968","120","","Aggregated",11.70,0.00,53,70,85,100,190,220,270,290,320,320,320,320,402,0,66,162,3,1263,161
"1592128970","120","","Aggregated",11.70,0.00,54,70,87,98,190,220,270,270,320,320,320,320,425,0,65,156,3,1263,159
"1592128972","120","","Aggregated",12.00,0.00,45,64,77,89,190,220,320,350,650,650,650,650,452,0,62,150,3,1263,188
"1592128974","140","","Aggregated",12.90,0.00,29,46,60,64,87,170,280,350,650,650,650,650,479,0,61,144,3,1263,184
"1592128976","140","","Aggregated",13.10,0.00,42,63,90,190,450,500,640,650,670,670,670,670,514,0,62,153,3,1263,180
"1592128978","140","","Aggregated",12.40,0.00,45,64,110,210,450,520,650,670,810,810,810,810,541,0,61,150,3,1263,203
"1592128980","140","","Aggregated",13.70,0.00,33,57,83,210,450,520,650,670,810,810,810,810,568,0,57,145,3,1263,199
"1592128982","140","","Aggregated",14.40,0.00,44,62,100,210,420,500,640,670,810,810,810,810,587,0,57,142,2,1263,196
"1592128984","160","","Aggregated",14.10,0.00,41,61,91,130,280,500,640,670,810,810,810,810,617,0,56,138,2,1263,193
"1592128986","160","","Aggregated",14.20,0.00,47,83,140,200,250,280,530,810,1500,1500,1500,1500,672,0,59,141,2,1462,209
"1592128988","160","","Aggregated",15.20,0.00,54,100,160,200,240,270,440,530,1500,1500,1500,1500,699,0,58,138,2,1462,206
"1592128990","160","","Aggregated",15.80,0.00,54,100,180,200,240,310,460,800,1500,1500,1500,1500,727,0,56,136,2,1462,222
"1592128992","160","","Aggregated",15.70,0.00,55,99,150,190,240,270,460,800,1500,1500,1500,1500,752,0,56,134,2,1462,219
"1592128994","180","","Aggregated",16.30,0.00,49,63,85,110,210,290,530,800,1500,1500,1500,1500,788,0,55,130,2,1462,215
"1592128996","180","","Aggregated",16.50,0.00,58,88,150,230,310,340,390,660,800,800,800,800,834,0,59,135,2,1462,209
"1592128998","180","","Aggregated",16.50,0.00,56,88,150,230,320,340,400,660,800,800,800,800,866,0,56,132,2,1462,206
"1592129000","180","","Aggregated",16.80,0.00,43,77,120,200,310,330,360,430,660,660,660,660,904,0,54,128,2,1462,202
"1592129002","180","","Aggregated",16.90,0.00,36,63,120,180,310,330,360,430,660,660,660,660,938,0,53,125,2,1462,200
"1592129004","200","","Aggregated",17.80,0.00,32,59,100,120,210,290,360,430,660,660,660,660,973,0,54,124,2,1462,197
"1592129006","200","","Aggregated",18.50,0.00,31,62,130,190,400,470,530,600,1300,1300,1300,1300,1035,0,54,130,2,1462,207
"1592129008","200","","Aggregated",19.20,0.00,37,70,150,180,400,470,530,600,1300,1300,1300,1300,1065,0,54,128,2,1462,204
"1592129010","200","","Aggregated",19.30,0.00,47,100,170,200,400,470,530,600,1300,1300,1300,1300,1101,0,53,126,2,1462,202
"1592129012","200","","Aggregated",20.60,0.00,58,160,210,250,400,470,530,600,1300,1300,1300,1300,1145,0,54,128,2,1462,210
"1592129014","220","","Aggregated",20.70,0.00,47,95,130,200,340,440,530,600,1300,1300,1300,1300,1203,0,54,125,2,1462,206
"1592129016","220","","Aggregated",21.20,0.00,49,91,120,170,240,350,390,440,1300,1300,1300,1300,1241,0,53,124,2,1462,215
"1592129018","220","","Aggregated",21.30,0.00,40,74,110,130,240,350,390,440,1300,1300,1300,1300,1278,0,51,122,2,1462,212
"1592129020","220","","Aggregated",20.70,0.00,31,69,100,110,230,340,390,440,1300,1300,1300,1300,1320,0,50,119,2,1462,209
"1592129022","220","","Aggregated",21.30,0.00,22,59,85,110,180,270,350,370,1000,1000,1000,1000,1362,0,50,119,2,1462,207
"1592129024","240","","Aggregated",21.30,0.00,22,53,74,90,180,300,370,380,1000,1000,1000,1000,1408,0,49,116,2,1462,204
"1592129026","240","","Aggregated",22.30,0.00,31,80,150,210,450,500,650,800,1300,1300,1300,1300,1478,0,51,124,2,1462,210
"1592129028","240","","Aggregated",23.20,0.00,39,80,150,220,450,500,650,800,1300,1300,1300,1300,1516,0,50,122,2,1462,208
"1592129030","240","","Aggregated",24.00,0.00,39,80,150,220,450,500,650,800,1300,1300,1300,1300,1555,0,49,120,2,1462,206
"1592129032","240","","Aggregated",23.80,0.00,36,78,140,210,420,500,650,800,1300,1300,1300,1300,1610,0,49,119,2,1462,203
"1592129034","260","","Aggregated",24.30,0.00,26,66,150,220,450,500,650,800,1300,1300,1300,1300,1650,0,47,117,2,1462,201
"1592129036","260","","Aggregated",24.80,0.00,30,76,150,210,460,500,540,560,600,600,600,600,1727,0,49,122,2,1462,198
"1592129038","260","","Aggregated",24.90,0.00,37,84,160,210,460,500,540,560,600,600,600,600,1763,0,48,121,2,1462,196
"1592129040","260","","Aggregated",24.70,0.00,45,110,200,220,460,500,540,560,600,600,600,600,1820,0,49,121,2,1462,193
"1592129042","260","","Aggregated",25.90,0.00,45,100,190,220,460,500,540,560,600,600,600,600,1866,0,47,119,2,1462,192
"1592129044","280","","Aggregated",25.70,0.00,56,94,120,190,370,480,540,540,600,600,600,600,1934,0,48,117,2,1462,190
"1592129046","280","","Aggregated",25.10,0.00,38,81,110,120,230,320,410,450,480,480,480,480,1987,0,47,116,2,1462,188
"1592129048","280","","Aggregated",24.10,0.00,31,76,94,110,230,320,420,460,700,700,700,700,2035,0,46,115,2,1462,193
"1592129050","280","","Aggregated",26.90,0.00,21,72,92,110,220,270,360,460,1000,1000,1000,1000,2101,0,46,114,2,1462,197
"1592129052","280","","Aggregated",27.30,0.00,29,81,110,130,220,270,380,460,1000,1000,1000,1000,2157,0,46,113,2,1462,195
"1592129054","300","","Aggregated",28.60,0.00,34,75,110,150,230,290,420,460,1000,1000,1000,1000,2233,0,46,112,2,1462,193
"1592129056","300","","Aggregated",29.90,0.00,34,73,110,130,230,340,430,520,1000,1000,1000,1000,2288,0,46,112,2,1462,191
"1592129058","300","","Aggregated",31.60,0.00,34,68,99,120,210,280,390,440,1000,1000,1000,1000,2340,0,45,110,2,1462,190
"1592129060","300","","Aggregated",29.80,0.00,43,75,110,120,210,260,390,440,720,720,720,720,2388,0,45,110,2,1462,194
"1592129062","300","","Aggregated",29.50,0.00,42,80,110,130,250,360,490,520,1100,1100,1100,1100,2451,0,45,111,2,1462,198
"1592129064","320","","Aggregated",30.40,0.00,41,80,120,150,290,420,490,560,1100,1100,1100,1100,2504,0,46,111,2,1462,196
"1592129066","320","","Aggregated",30.30,0.00,56,120,250,330,690,800,900,910,1500,1500,1500,1500,2592,0,46,120,2,1543,200
"1592129068","320","","Aggregated",30.00,0.00,58,150,250,340,690,800,900,910,1500,1500,1500,1500,2636,0,46,119,2,1543,199
"1592129070","320","","Aggregated",31.10,0.00,44,140,250,320,540,780,860,900,1500,1500,1500,1500,2710,0,45,118,2,1543,197
"1592129072","320","","Aggregated",31.00,0.00,42,100,180,250,560,780,860,900,1500,1500,1500,1500,2772,0,45,117,2,1543,195
"1592129074","340","","Aggregated",31.10,0.00,63,170,220,280,510,760,860,900,1500,1500,1500,1500,2850,0,48,120,2,1543,193
"1592129076","340","","Aggregated",30.90,0.00,65,160,200,230,340,420,640,760,2900,2900,2900,2900,2922,0,48,123,2,2870,206
"1592129078","340","","Aggregated",33.60,0.00,65,150,200,240,370,470,640,760,2900,2900,2900,2900,2988,0,49,123,2,2870,204
"1592129080","340","","Aggregated",33.60,0.00,130,220,280,320,450,570,680,760,2900,2900,2900,2900,3057,0,50,126,2,2870,202
"1592129082","340","","Aggregated",33.60,0.00,110,200,280,320,450,570,680,760,2900,2900,2900,2900,3122,0,49,125,2,2870,200
"1592129084","360","","Aggregated",35.20,0.00,66,140,220,260,420,510,620,760,2900,2900,2900,2900,3210,0,49,124,2,2870,198
"1592129086","360","","Aggregated",35.60,0.00,52,120,170,240,340,480,590,630,760,760,760,760,3276,0,49,123,2,2870,201
"1592129088","360","","Aggregated",34.50,0.00,50,120,200,240,330,450,600,670,1100,1100,1100,1100,3335,0,49,123,2,2870,204
"1592129090","360","","Aggregated",35.50,0.00,29,69,110,130,250,310,410,430,1100,1100,1100,1100,3427,0,47,122,2,2870,206
"1592129092","360","","Aggregated",37.10,0.00,39,88,120,150,280,340,420,520,1100,1100,1100,1100,3484,0,48,122,2,2870,209
"1592129094","380","","Aggregated",37.10,0.00,33,83,120,200,300,380,430,520,1100,1100,1100,1100,3548,0,48,121,2,2870,207
"1592129096","380","","Aggregated",36.00,0.00,52,120,200,240,370,460,570,590,1100,1100,1100,1100,3656,0,49,123,2,2870,205
"1592129098","380","","Aggregated",37.20,0.00,55,120,200,240,360,470,580,600,920,920,920,920,3713,0,49,124,2,2870,203
"1592129100","380","","Aggregated",37.20,0.00,83,160,220,260,390,500,590,720,1900,1900,1900,1900,3803,0,50,125,2,2870,208
"1592129102","380","","Aggregated",38.20,0.00,77,160,220,250,370,500,590,720,1900,1900,1900,1900,3869,0,50,124,2,2870,207
"1592129104","400","","Aggregated",37.70,0.00,66,150,210,240,370,500,590,720,1900,1900,1900,1900,3938,0,49,123,2,2870,206
"1592129106","400","","Aggregated",38.70,0.00,98,220,280,380,610,860,1100,1200,1900,1900,1900,1900,4039,0,50,131,2,2870,203
"1592129108","400","","Aggregated",37.50,0.00,65,160,240,270,520,860,1100,1200,1900,1900,1900,1900,4119,0,50,130,2,2870,202
"1592129110","400","","Aggregated",39.20,0.00,71,180,240,270,500,850,970,1100,1300,1300,1300,1300,4196,0,51,130,2,2870,200
"1592129112","400","","Aggregated",39.10,0.00,82,190,260,320,560,850,970,1100,1300,1300,1300,1300,4271,0,52,131,2,2870,199
"1592129114","420","","Aggregated",39.50,0.00,84,160,210,270,540,830,970,1100,1700,1700,1700,1700,4375,0,52,130,2,2870,200
"1592129116","420","","Aggregated",41.70,0.00,75,120,180,190,280,360,500,560,1700,1700,1700,1700,4445,0,52,130,2,2870,199
"1592129118","420","","Aggregated",40.30,0.00,77,130,170,200,270,360,500,560,1700,1700,1700,1700,4533,0,52,129,2,2870,198
"1592129120","420","","Aggregated",41.50,0.00,91,160,210,240,340,450,510,570,1700,1700,1700,1700,4618,0,54,131,2,2870,196
"1592129122","420","","Aggregated",41.90,0.00,92,160,210,240,340,450,540,570,1700,1700,1700,1700,4695,0,54,132,2,2870,198
"1592129124","440","","Aggregated",41.10,0.00,100,180,240,280,370,480,560,590,1700,1700,1700,1700,4765,0,54,132,2,2870,197
"1592129126","440","","Aggregated",42.00,0.00,130,250,340,410,560,750,1000,1200,1700,1700,1700,1700,4890,0,56,139,2,2870,195
"1592129128","440","","Aggregated",42.80,0.00,120,240,340,420,560,750,1000,1200,1700,1700,1700,1700,4978,0,55,137,2,2870,197
"1592129130","440","","Aggregated",44.20,0.00,76,180,290,370,570,760,1000,1200,1700,1700,1700,1700,5054,0,55,137,2,2870,196
"1592129132","440","","Aggregated",43.70,0.00,71,160,240,290,550,750,1000,1200,1600,1600,1600,1600,5134,0,55,136,2,2870,194
"1592129134","460","","Aggregated",43.90,0.00,71,160,240,290,510,750,1000,1200,1600,1600,1600,1600,5239,0,55,136,2,2870,196
"1592129136","460","","Aggregated",44.40,0.00,36,88,140,180,290,400,570,600,1200,1200,1200,1200,5332,0,55,136,2,2870,195
"1592129138","460","","Aggregated",46.10,0.00,64,150,230,280,430,540,600,670,1900,1900,1900,1900,5430,0,56,138,2,2870,198
"1592129140","460","","Aggregated",44.10,0.00,40,130,220,270,430,540,600,690,1900,1900,1900,1900,5516,0,55,137,2,2870,200
"1592129142","460","","Aggregated",45.40,0.00,32,98,200,250,430,540,600,690,1900,1900,1900,1900,5597,0,53,136,2,2870,199
"1592129144","480","","Aggregated",47.60,0.00,46,120,220,280,440,560,600,690,1900,1900,1900,1900,5718,0,54,137,2,2870,197
"1592129146","480","","Aggregated",45.70,0.00,61,140,220,270,430,510,640,690,1900,1900,1900,1900,5793,0,55,136,2,2870,199
"1592129148","480","","Aggregated",46.00,0.00,49,100,170,200,310,390,510,690,1700,1700,1700,1700,5907,0,55,136,2,2870,202
"1592129150","480","","Aggregated",46.80,0.00,48,91,140,190,310,390,500,640,1700,1700,1700,1700,5987,0,54,135,2,2870,201
"1592129152","480","","Aggregated",47.00,0.00,47,93,160,190,320,400,510,690,1700,1700,1700,1700,6069,0,53,134,2,2870,202
"1592129154","500","","Aggregated",46.10,0.00,48,99,170,200,290,360,500,830,1700,1700,1700,1700,6164,0,53,135,2,2870,201
"1592129156","500","","Aggregated",46.90,0.00,57,140,210,250,330,430,570,840,2000,2000,2000,2000,6271,0,55,136,2,2870,204
"1592129158","500","","Aggregated",48.30,0.00,130,260,350,410,640,880,1100,1300,2000,2000,2000,2000,6402,0,57,144,2,2870,202
"1592129160","500","","Aggregated",46.20,0.00,160,270,360,410,650,880,1100,1300,2000,2000,2000,2000,6477,0,57,144,2,2870,201
"1592129162","500","","Aggregated",50.60,0.00,180,260,360,410,650,880,1100,1300,2000,2000,2000,2000,6556,0,58,143,2,2870,203
"1592129164","520","","Aggregated",50.20,0.00,160,240,360,410,650,880,1100,1300,2000,2000,2000,2000,6689,0,60,144,2,2870,203
"1592129166","520","","Aggregated",50.20,0.00,140,210,310,370,630,880,1000,1100,1600,1600,1600,1600,6789,0,59,144,2,2870,202
"1592129168","520","","Aggregated",50.60,0.00,100,170,200,240,380,500,650,800,1600,1600,1600,1600,6864,0,60,145,2,2870,201
"1592129171","520","","Aggregated",51.30,0.00,150,200,280,310,460,570,670,980,3500,3500,3500,3500,6983,0,62,147,2,3545,202
"1592129173","520","","Aggregated",48.50,0.00,130,190,240,290,450,560,670,1600,5100,5100,5100,5100,7097,0,62,148,2,5067,207
"1592129175","540","","Aggregated",54.10,0.00,140,210,260,300,450,570,690,1200,5100,5100,5100,5100,7187,0,62,148,2,5067,207
